,A_name,A_code,B_name,B_code,t,p,crit_value_1,crit_value_5,crit_value_10,flag
457,南京证券,601990.SH,东北证券,000686.SZ,-1.762914150922902,0.39902293109366277,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
458,南京证券,601990.SH,中原证券,601375.SH,-1.3371234047100142,0.6120218934459565,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
459,南京证券,601990.SH,东兴证券,601198.SH,-1.5834795008359404,0.49188677951327275,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
460,南京证券,601990.SH,西南证券,600369.SH,-1.4673565870646639,0.5495933654824077,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
461,南京证券,601990.SH,东方证券,600958.SH,-1.4344765090169698,0.565640648957584,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
462,南京证券,601990.SH,国信证券,002736.SZ,-1.4468357263870986,0.5596281304452345,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
463,南京证券,601990.SH,哈投股份,600864.SH,-1.5249455268539356,0.5211370420286456,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
464,南京证券,601990.SH,华创阳安,600155.SH,-1.6162492222704135,0.47469622654245025,-3.4436568932270095,-2.8674084917497074,-2.5698956806372832,False
465,南京证券,601990.SH,兴业证券,601377.SH,-1.6955423810368,0.4334106274179478,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
466,南京证券,601990.SH,方正证券,601901.SH,-1.5592309464555973,0.5040340531199398,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
467,南京证券,601990.SH,中银证券,601696.SH,-2.0474253139285437,0.26617339805456364,-3.502704609582561,-2.8931578098779522,-2.583636712914788,False
468,南京证券,601990.SH,国金证券,600109.SH,-1.6838404186677844,0.4394570205804574,-3.4439615820186846,-2.8675425624806605,-2.5699671340268937,False
469,南京证券,601990.SH,国海证券,000750.SZ,-1.3457158354553294,0.6080065985418699,-3.4437660979098843,-2.8674565460819896,-2.569921291128696,False
470,南京证券,601990.SH,长城证券,002939.SZ,-0.9510414558904194,0.7706996360827116,-3.4463221132914486,-2.8685808072418824,-2.570520529031954,False
471,南京证券,601990.SH,中泰证券,600918.SH,-1.7796492139284767,0.39061106878228247,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074,False
472,南京证券,601990.SH,华西证券,002926.SZ,-1.4493437779542109,0.5584050709968281,-3.443849184997939,-2.8674931065091105,-2.569940776113236,False
473,南京证券,601990.SH,广发证券,000776.SZ,-1.4824816412894177,0.5421589374227921,-3.443849184997939,-2.8674931065091105,-2.569940776113236,False
474,南京证券,601990.SH,哈高科,600095.SH,-1.9038667301485008,0.3302442710376804,-3.4440471158221206,-2.867580197120949,-2.5699871918402777,False
475,南京证券,601990.SH,华鑫股份,600621.SH,-1.584794000788016,0.49122734519181727,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
476,南京证券,601990.SH,国泰君安,601211.SH,-1.7420428118581492,0.4095912093782149,-3.443849184997939,-2.8674931065091105,-2.569940776113236,False
477,南京证券,601990.SH,锦龙股份,000712.SZ,-1.5557549044065833,0.5057723008951619,-3.4437386290417082,-2.867444458865948,-2.5699148492415413,False
478,南京证券,601990.SH,申万宏源,000166.SZ,-1.4080535844924043,0.578409096750625,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
479,南京证券,601990.SH,天风证券,601162.SH,-0.6412743670915418,0.8613803694272033,-3.446129402876608,-2.8684960761128346,-2.570475362616382,False
480,南京证券,601990.SH,招商证券,600999.SH,-2.4374222909523278,0.13145154410018356,-3.4439899743408136,-2.8675550551408353,-2.569973792117904,False
481,南京证券,601990.SH,太平洋,601099.SH,-1.5713948444514214,0.497944938943547,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
482,南京证券,601990.SH,华安证券,600909.SH,-1.7666958058599285,0.3971171045886761,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
483,南京证券,601990.SH,国投资本,600061.SH,-1.864946362319593,0.34872678693359127,-3.443849184997939,-2.8674931065091105,-2.569940776113236,False
484,南京证券,601990.SH,国元证券,000728.SZ,-1.6143097164182858,0.47571372734859074,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
485,南京证券,601990.SH,东方财富,300059.SZ,-2.718767776028905,0.07084654840357797,-3.443849184997939,-2.8674931065091105,-2.569940776113236,False
486,南京证券,601990.SH,山西证券,002500.SZ,-1.1616852417718682,0.6898568919300192,-3.4440184853599876,-2.867567599912013,-2.5699804779975883,False
487,南京证券,601990.SH,中国银河,601881.SH,-1.8638491841382225,0.34925393399492866,-3.443849184997939,-2.8674931065091105,-2.569940776113236,False
488,南京证券,601990.SH,中信建投,601066.SH,-0.3531666869228587,0.9176295120587428,-3.4437936797256317,-2.867468682890213,-2.5699277594606915,False
